timestamp,temperature,humidity,smoke_level
2024-11-30 18:48:39,49.71,35.97,43.65
2024-11-30 18:48:44,37.04,10.09,33.43
2024-11-30 18:48:49,36.5,77.85,23.45
2024-11-30 18:48:54,28.62,69.15,30.35
2024-11-30 18:48:59,36.26,39.93,23.03
2024-11-30 18:49:04,48.97,10.0,35.56
2024-11-30 18:49:09,30.29,18.57,45.68
2024-11-30 18:49:14,38.47,72.97,86.59
2024-11-30 18:49:19,29.34,38.85,50.82
2024-11-30 18:49:24,48.37,86.83,51.99
2024-11-30 18:49:29,45.37,52.17,12.36
2024-11-30 18:49:34,23.45,72.16,79.33
2024-11-30 18:49:39,43.83,34.4,39.9
2024-11-30 18:49:44,30.94,41.1,69.69
2024-11-30 18:49:49,20.94,41.43,31.06
2024-11-30 18:49:54,46.06,77.1,17.51
2024-11-30 18:49:59,47.28,61.53,83.23
2024-11-30 18:50:04,48.15,85.88,52.42
2024-11-30 18:50:09,22.39,79.98,70.65
2024-11-30 18:50:14,46.9,69.21,1.87
2024-11-30 18:50:19,39.1,50.61,10.99
2024-11-30 18:50:24,35.75,21.92,91.23
2024-11-30 18:50:29,48.66,73.9,65.9
2024-11-30 18:50:34,44.5,10.4,75.94
2024-11-30 18:50:39,45.85,56.3,78.48
2024-11-30 18:50:44,39.21,41.54,23.78
2024-11-30 18:50:49,46.17,62.64,38.89
2024-11-30 18:50:54,35.97,56.52,28.47
2024-11-30 18:50:59,49.88,35.91,88.57
2024-11-30 18:51:04,38.11,71.98,40.29
2024-11-30 18:51:09,21.07,49.93,15.81
2024-11-30 18:51:14,35.63,21.01,48.78
